customerid,loannumber,loanamount,totaldue,termdays,good_bad_flag,interest,interest_rate,age,longitude_gps,latitude_gps,loanamount_mean,totaldue_mean,termdays_mean,interest_mean,interest_rate_mean,diff_firstrepaiddate_firstduedate_mean,diff_closeddate_creationdate_mean,repaid_dayofweek_mean,due_dayofweek_mean,bank_account_type_Current,bank_account_type_Other,bank_account_type_Savings,bank_name_clients_Access Bank,bank_name_clients_Diamond Bank,bank_name_clients_EcoBank,bank_name_clients_FCMB,bank_name_clients_Fidelity Bank,bank_name_clients_First Bank,bank_name_clients_GT Bank,bank_name_clients_Heritage Bank,bank_name_clients_Keystone Bank,bank_name_clients_Skye Bank,bank_name_clients_Stanbic IBTC,bank_name_clients_Standard Chartered,bank_name_clients_Sterling Bank,bank_name_clients_UBA,bank_name_clients_Union Bank,bank_name_clients_Unity Bank,bank_name_clients_Wema Bank,bank_name_clients_Zenith Bank,employment_status_clients_Contract,employment_status_clients_Permanent,employment_status_clients_Retired,employment_status_clients_Self-Employed,employment_status_clients_Student,employment_status_clients_Unemployed,employment_status_clients_non-defined
8a2a81a74ce8c05d014cfb32a0da1049,12,30000.0,34500.0,30,1,4500.0,15.0,46,3.4320101999999997,6.4330553,18181.81818181818,22081.81818181818,0.07999999999999999,3900.0,22.90909090909091,-0.9090909090909091,30.0,2.0,1.6363636363636365,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a8588f35438fe12015444567666018e,7,20000.0,22250.0,15,1,2250.0,11.25,34,11.1393496,10.2920413,10000.0,11750.0,0.04666666666666666,1750.0,17.5,0.8333333333333334,18.833333333333332,2.1666666666666665,1.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a85890754145ace015429211b513e16,3,10000.0,11500.0,15,1,1500.0,15.0,41,3.9857697999999995,7.491708099999999,10000.0,12250.0,0.06,2250.0,22.5,7.5,31.5,4.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a858970548359cc0154883481981866,9,40000.0,44000.0,30,1,4000.0,10.0,32,7.4579127000000005,9.0765736,18750.0,23550.0,0.09999999999999998,4800.0,25.875,-3.125,27.375,3.375,1.25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a858e095c59b91b015c5e5cea3719bc,3,10000.0,13000.0,30,1,3000.0,30.0,29,3.2594445,6.557011200000001,10000.0,12250.0,0.06,2250.0,22.5,-2.5,20.0,0.5,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a858e1158dc4d830158f7bde4f47ea7,10,30000.0,34500.0,30,1,4500.0,15.0,31,6.1780555999999995,5.4257995999999995,20000.0,23000.0,0.06222222222222223,3000.0,15.852222222222224,-1.0,22.555555555555557,2.2222222222222223,2.4444444444444446,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8a858e185b4923b4015b4ae48d28646a,4,10000.0,11500.0,15,1,1500.0,15.0,31,3.3965242,6.627942900000001,10000.0,11500.0,0.04,1500.0,15.0,1.3333333333333333,18.0,3.3333333333333335,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a858e1d5cd58f9e015ceda4bdb63673,2,10000.0,11500.0,15,1,1500.0,15.0,34,3.2858723,6.5824438999999995,10000.0,11500.0,0.04,1500.0,15.0,-3.0,12.0,0.0,3.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8a858e245c214660015c2ba8187976f7,2,10000.0,13000.0,30,1,3000.0,30.0,35,7.1233193,4.883499700000001,10000.0,11500.0,0.04,1500.0,15.0,-2.0,13.0,0.0,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a858e345bd96da8015be6b9f8bc10c7,3,10000.0,13000.0,30,0,3000.0,30.0,30,3.8210848,7.3326277,10000.0,12250.0,0.06,2250.0,22.5,0.0,23.0,3.5,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a858e395cb1d4d9015cb236b4811cbc,2,10000.0,11500.0,15,1,1500.0,15.0,53,3.1727935,6.6832652999999995,10000.0,13000.0,0.08,3000.0,30.0,-3.0,28.0,4.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8a858e4456ced8470156dc8f1f4038d3,11,40000.0,44000.0,30,1,4000.0,10.0,41,3.3022556000000005,6.636864999999999,24000.0,27720.0,0.07599999999999998,3720.0,17.651,-1.5,27.2,2.5,1.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8a858e5357d823010157d932443d28a3,13,40000.0,44000.0,30,1,4000.0,10.0,39,3.3526542999999998,6.456208999999999,21666.666666666668,24575.0,0.060000000000000005,2908.3333333333335,14.375833333333333,-0.6666666666666666,22.333333333333332,1.9166666666666667,1.4166666666666667,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8a858e5b5bd99460015bdf725e143ff4,3,10000.0,13000.0,30,1,3000.0,30.0,34,3.7003699999999995,7.3943183,10000.0,13000.0,0.08,3000.0,30.0,-1.0,29.0,1.0,2.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a858e645755e62201576b58e3522081,3,10000.0,11500.0,15,1,1500.0,15.0,37,3.3718017999999996,6.5169394,10000.0,12250.0,0.06,2250.0,22.5,3.0,25.5,2.0,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8a858e6c5bd3fbff015bd408ac3e067a,2,10000.0,11500.0,15,0,1500.0,15.0,36,3.3661119,6.597594900000001,10000.0,11500.0,0.04,1500.0,15.0,-1.0,14.0,3.0,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8a858e705668e16701567f1523211e5a,15,40000.0,44000.0,30,1,4000.0,10.0,42,3.4296002999999997,6.4530244,26428.571428571428,29717.85714285714,0.06285714285714286,3289.285714285714,12.882142857142854,-2.7142857142857144,21.428571428571427,1.9285714285714286,2.142857142857143,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a858e7d595026f8015951c0c4a03fae,10,30000.0,34500.0,30,1,4500.0,15.0,32,7.887637599999999,8.8351164,20000.0,22611.11111111111,0.05333333333333333,2611.1111111111113,13.093333333333334,-3.6666666666666665,16.77777777777778,2.7777777777777777,2.5555555555555554,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a858e885c17687c015c19eead6338fd,3,10000.0,13000.0,30,1,3000.0,30.0,40,3.3453459999999997,6.5617308,10000.0,13000.0,0.08,3000.0,30.0,-7.0,23.0,1.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a858e8f5d41c974015d4b7f31865627,2,10000.0,11500.0,15,0,1500.0,15.0,25,3.5246642,6.659242699999999,10000.0,11500.0,0.04,1500.0,15.0,-6.0,9.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8a858e9b5a195041015a1a602a51519d,7,25000.0,28750.0,30,1,3750.0,15.0,35,7.1694297,9.217406800000001,13333.333333333334,15020.833333333334,0.04,1687.5,13.125,-2.6666666666666665,13.333333333333334,2.5,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
